Tanggapan,L_Layanan,L_Fasilitas
"saran, jika ada jadwal tes mohon mahasiswa di SMS juga agar tidak ada mahasiswa yang ketinggalan informasi",0,1
-,0,1
pada layanan pusat bahasa beberapa orang ada yang tidak baik dalam melayani kami,1,0
diperbaharui alat alat pembanyu nya,1,1
-,0,1
-,1,1
Semoga bisa lebih baik,1,0
tingkatkan lagi pelayanan ke mahasiswanya.,0,1
-,0,0
Mengapa kegiatan dari Pusat Bahasa harus memakan biaya ekstra? Seharusnya digratiskan.,0,0
.,0,1
lebih memanfaatkan adanya himpunan untuk turun ke mahasiswa,1,1
Saran : tingkatkan fasilitas,1,0
lebih baik lagi,1,1
"sebaiknya diadakan les speaking, pasti diantara beberapa puluh ribumahasiswa/i menginginkan hal tersebut",0,0
"Gedung dan informasinya di tingkatkan lagi , karna informasi yg di terima mahasiswa dengan yg di berikan kadang suka sedikit berbeda dan banyak yg simpang siur",1,1
-,0,0
ruangannya kurang besar,0,0
-,0,0
untuk konfirmasi kegiatan eprt terlalu sebentar sehingga kadang sulit untuk melakukan konfirmasi,0,0
Enggak,0,0
Belum pernah,0,0
lebih di tiingkatkan lagi dalam layanan bidang pusat bahasa,0,0
lebih diperhatikan lagi,0,0
memperbanyak buku yg terkait dengan matkul2 dkv,0,0
Tingkatkan,0,0
baik,1,1
harap di tingkatkan,0,0
aman,0,0
Bagus,1,1
syudah bagus,0,0
cukup bagus,1,1
Semoga pihak layanan pusat bahasa dapat mempertahankan kinerjanya yang bernilai positif dan meningkatkan kinerjanya di masa depan. Terima kasih.,0,0
baik,0,0
sudah cukup bagus,0,0
pusat bahasa baik,0,0
Sudah baik,0,0
untuk layanan pusat bahasa sudah sangat memuaskan  dan hanya perlu di pertahankan,1,1
lebih di tingkatkan lagi untuk mengenalkan tentang pusat bahasa.,0,0
sudah baik,0,0
"Pelayannan Pusat Bahasa sudah sangat baik, pembelajarannya pun terlihat menyenangkan",0,0
Tingkatkan,0,0
bagus kedepan smg lebih bagus,0,0
Tingkatkan,1,0
sudah baik,0,0
Sudah cukup baik,1,1
sangat mencerminkan budaya bahasa yang daramatis,0,0
sudah cukup,0,0
sudah bagus dalam bidang layanan pusat bahasa,0,0
lebih di tingkatkan lagi,0,0
cukup baik,1,1
sudah cukup baik,0,0
lanjutkan,0,0
saya sudah merasa nyaman dengan pengimplementasia layanan yang di berikan pusat bahasa terhadap saya,0,0
sudah baik,0,0
lebih ditingkatkan lagi fasilitas untuk menunjang,0,0
baik,1,1
tingkatkan,0,0
cukup memuaskan,1,1
menurut saya sudah cukup baik,0,0
Sudah cukup jelas dan baik,0,0
Baik,0,0
Tingkat kan lagi,0,0
sudah cukup baik,0,0
cukupbaik,1,1
baik,1,1
bagus,1,1
sudah baik,0,0
tingkatkan lagi,1,1
Baik,0,0
ditingkatkan lagi,0,0
Sudah cukup bagus,0,0
Maju terus!!!,0,1
cukup baik,0,0
layanan di bidang pusaht bahasa cukup baik,0,0
canggih,0,0
tingkatkan lagi,1,1
tingkatkan lagi,0,0
tingkatkan,0,0
cukup.,1,1
lebih ditingkatkan lagi dalam sosialisai dan koordinasi,0,0
cukup puas,1,1
Sudah bagus,0,0
layanan pusat bahasa sudah baik,0,0
lebih tingkatkan dalam layanan pusat bahasa,0,0
Semua nya good,0,0
Bagusss,0,0
Oke,0,0
Layanan Pusat Bahasa ditingkatkan lagi :),0,0
sudah cukup baik,0,0
Terbaik,0,0
lebih ditingkatkan lagi agar lebih memuaskan,0,0
layanan pusat bahasa sudah cukup baik,1,1
Lebih ditingkatkan,0,0
bagus,0,0
"Saran/masukan saya mengenai implementasi layanan di universitas Telkom dalam bilang Layanan Pusat Bahasa adalah tidak ada, menurut saya pelayanan yang diberikan sudah cukup baik",0,0
sudah bagus,0,0
tidak ada,0,0
sudah baik,0,0
be better,0,0
tidak ada,0,0
BAGUS,0,0
Baik,0,0
baik,0,0
Cukup baik,0,0
terus tingkatkan,0,0
ya,0,0
Baik,0,0
Tidak ada,0,0
semuanya sudah cukup baik. Terimakasih :),0,0
Sudah sangat memuaskan,0,0
sudah cukup dan memuaskan,0,0
adanya pusat bahasa di telkom sangat membatu bagi mahasiswa yang ingin belajar bahasa asing jadi tidak ada yang perlu di komentari,0,0
Semangat,0,0
Menurut saya Pusat Bahasa adalah bidang layanan yg mengalami peningkatan fasilitas lumayan banyak dari tahun sebelumnya jadi saya harap fasilitas tersebut dapat membantu mahasiswa/i dalam proses belajar disana,0,0
sudah cukup,0,0
bagus,0,0
sudah bagus,0,1
Ya sudah baik. Ditingkatkan lagi,1,1
ga tau apa apa wkwkwkw,0,0
pelayanannya sudah bagus,0,0
tidak ada,0,1
keep better,0,0
good,0,0
Tambahan untuk bahasa lain. Secara overall sudah baik.,0,0
we,0,0
kedepannya semakin baik,0,0
sudah baik,0,0
pelayananannya ditingkatkan lagi,0,0
sudah bagus hanya perlu ditingkatkan,0,0
Lebih ditingkatkan lagi,1,1
O,0,0
baik,0,0
"sudah baik, tingkatkan saja sistem pelayannya",0,0
No comment,0,0
cukup baik serta tidak ada masukan,0,0
belum pernah ke layanan pusat bahasa,0,0
tidak ada,0,0
Tidak ada saran,0,0
Cukup bagus,0,0
sejauh ini bagus,0,0
bagus,0,0
ditigkatkan lagi,0,0
Lebih baik lg,0,0
bagusss,0,0
baik,0,0
Semoga menjadi yang terbaik dalam pelayanan bahasa,0,0
Teruskaaann,0,0
"Sudah baik,pertahankan",0,0
Semoga layanan di pusat bahasa ini semakin membantu para mahasiswa lain untuk mengetahui lebih banyak tentang bahasa.,0,0
Baik,0,1
sudah cukup baik,0,0
Y,0,0
nothing,0,0
....,0,0
TIdak ada,0,0
tidak ada,0,0
tidak ada,0,0
nope,0,0
tidak ada,1,1
.,0,0
faafafaf,0,0
"Lebij banyak adakan kegiatan language exchange, akan sangat menyenangkan",0,0
-,0,0
Tidak ada,0,0
Tidak tahu,0,0
Tidak ada,1,1
kurang tau,0,1
Tidak ada,0,0
tidak ada,0,0
gaada,0,0
kurang diketahui,0,0
blahblah,0,0
tidak ada,0,0
?,0,0
a,0,0
no comment,0,0
"untuk pusat bahasa saya belum pernah ikut ,, alias baru mendaftar ,, jadi tidak ada saran...",0,0
kalau bisa biayanya dipermurah&lebih ditekankan dengan metode pendekatan yg lebih baik agar mendapat nilai lebih dari semua orang seperti mencontoh kampung inggris karena semua orang mengharapkan kualitas yang diterimaa termasuk orangtua mhs kampus dan demi terwujudnya world class university .,0,0
Mengadakan training lebih sering,0,1
-,0,1
sudah bagus,0,1
sudah cukup baik,0,0
-,1,1
Hahaha,0,0
tidak ada,1,1
sudah baik,0,0
-,0,1
y,1,1
layanan pusat bahasa cukup baik sejauh ini,0,0
layanan implementasi nya sudah bagus untuk saat ini,0,0
tes bahasa inggris harus digratiskan terurama untuk calon lulusan,0,0
lebih ditingkatkan lamanya waktu peminjaman buku library,0,0
"Terkadang di saat pusat bahasa, para pengurus lebih diam dan membiarkan kita untuk beraktifitas sendiri. Untuk selanjutnya para pengurus di pusat bahasa lebih ramah dan bersahabat untuk para kami yang kursus",0,0
bagus,0,0
agar di tingkatkan lagi,0,0
Bagus,0,0
lebih disosialisasikan lagi,0,0
cukup,0,0
"Saran, agar sering-sering mengadakan pelatihan gratis untuk umum",0,0
kurang,0,0
baik,0,0
Lebih informatif,0,1
memudahkan mahasiswa untuk les dan tes toefl untuk bahan lulusan dan kerja sehingga semacam eprt dapat digunakan untuk kerja,0,0
-,0,0
bagus,0,0
Pelayanan pusat bahasa juga sudah memuaskan,0,0
-,1,1
"sudah baik, tingkatkan lagi",0,0
sudah cukup baik,0,0
baik,0,0
good,0,0
pelayanan seperti les untuk jadwal lebih baik disesuaikan dengan mahasiswa yang ingin mengikutinya. pusat bahasa sangat menarik karena banyak sekali bahasa-bahasa yang dapat dipelajari,0,0
tidak ada,0,0
kekurangannya kalo telat suruh bayar lagi. nah uang dari awal itu buat apa,0,0
-,0,0
sudah baik,1,1
cukup baik,0,0
MOHON LAMPU TAMAN ATAU RUANGAN DI KAWASAN TELKOM DIPERBAIKI SECEPATNYA KALO TIDAK TELKOM SEPERTI UNIVERSITAS YANG GA KEURUS,1,1
"Lebih baik di tiadakan dan di gantikan dengan mata kuliah biasa, atau pengambilan dana di pusat bahasa di tiadakan",0,0
membantu sekali,0,0
Tidak ada,0,0
"Sudah bagus tingkatkan lagi, agar membuat mahsiswa/i lebih nyaman berada di kampus",1,1
belum pernah ke pussat bahasa,0,0
ya,0,0
-,0,0
agar lebih baik kedepannya,1,1
baik,0,0
kedepannya diharapkan adanya fasilitas pelatihan bahasa secara menyeluruh tanpa adanya biaya,0,1
-,0,0
lebih baik lagi,0,0
Saya belum menjalani layanan pusat bahasa,0,0
-,0,0
sudah cukup baik,0,0
tingkatkan,1,0
gaada,1,1
sudah bagus,1,1
bagus,0,0
tingkatkan lagi,0,0
Baik,0,0
pelayanan lebih di tingkatkan lagi,0,0
sudah baik,1,1
lebih baik lagi,0,0
cukup bagus,0,0
sangat puas,0,0
Bagus,1,1
"sudah baik, ditingkatkan lagi fasilitas yang ada",0,0
lebih ditingkatkan lagi sehingga mahasiswa lebih dipermudah,1,1
Be better,0,0
sudah cukup baik,0,0
"sudah sangat baik, tiap tahun selalu ada improvement",1,1
"Sudah baik, tingkatkan lagi kualitasnya.",0,1
Sudah baik,0,0
sangat memuaskan mohon ditingkatkan lagi,0,0
h,0,1
Baik,0,0
layanan di pusat bahasa sudah baik,0,0
ditingkatkan,0,0
Sangat bermanfaat dan mudah dipahami,1,1
tingkatkan,0,0
memuaskan,0,0
Ok,1,1
kurang mengerti karena tidak pernah melakukannya,0,1
Diharapkan diringankan dalam proses ecct dan eprt,0,0
-,0,0
sudah cukup baik,0,0
tolong di permudah tentang pembiayaan speaking sama learning,1,1
tidak ada,0,0
-,0,1
bagus,0,0
tingkatkan,0,1
-,0,0
mantap,0,0
"sudah baik, tingkatkan",0,0
tingkatkan bahasa yang bagus,1,1
cukup,0,0
sudah cukup membantu untuk mahasiswa,0,0
"terus tingkatkan, sudah cukup memuaskan",0,0
sudah baik dan harus di tingkatkan,0,0
.,0,1
Jam bukanya diperpanjang,0,0
sudah bagus,1,1
jangan terlalu mahal,0,0
belum tau,0,0
nothing,0,0
sudah baik dan perlu dipertahankan,0,0
LEBIH DIRAWAT DAN DITINGKATKAN,0,1
-,0,0
lebih baik lagi,0,0
cukup dan baik,1,1
"Belum pernah mengikuti, jadi belum tahu",0,0
mungkin untuk pemilihan paket LaC penjelasannya harus lebih rinci lagi,1,1
.,1,1
pusat bahasa harus lebih kondusif,0,0
ya,0,0
tidak ada,0,0
-,1,1
Goodluck!,0,0
sebaiknya respon layanan untuk lebih dipercepat,0,0
sudah cukup baik,0,0
baik,0,0
"pelayanan di pusat bahasa kurang, sebaiknya lebih di tingkatkan lagi.",0,0
lanjutkan,1,1
"sudah cukup bagus. tapi sampai sekarang masih belum mengerti gedung bahasa fungsi nya apa selain untuk kelas, dan ESAP",0,0
terus ditingkatkan,0,0
-,0,0
Baik,0,0
sudah baik,1,1
"pelayanan tidak memuaskan pada saat semester genap di tahun 2015, masih kurang peduli",1,1
Tidak ada,0,0
sudah bagus,0,0
Masih terbilang baik sampai saat ini,0,0
tidak ada,1,1
sudah baik,0,1
"hanya satu saja, meningkatkan kualitas SDM terutama yang bertugas untuk memberikan pengajaran. mungkin bisa mengundang native speaker.",0,0
Baik,0,0
ya,0,1
tidak ada,0,1
Semoga lebih baik,0,0
Lebih ditingkatkan lagi,0,0
kurabg memahami,0,0
Sudah bagus,1,1
Ngga ada,1,1
pusat bahasa sudah aik dan perlu sering-sering ada sosialisasi test yg gratis,1,1
Kurang efektif,0,0
"Pelayanan sudah baik, tapi perlu ditingkatkan lagi",0,0
Sudah cukup,0,0
-,0,0
pusat  bahasa diperbanyak tutor esapnya,0,0
"Penilaian mata kuliah Bahasa Inggris tidak perlu menggunakan presentase dari ESAP, EPRT dan ECCT. Pendidikan bukan untuk bisnis!",0,0
ya bagus,0,0
sudah cukup baik,0,0
-,0,0
perhatikan,0,0
saran saya adalah agar layanan pusat bahasa terus ditingkatkan.,0,0
kurang ramah,0,0
SUDAH BAGUS,0,0
good,0,0
tk,0,0
good,0,0
:),0,1
Selama saya ikut kegiatannya itu sudah baik.,0,0
sudah baik,1,1
Semoga lebih baik lagi,0,0
I DONT KNOW AND I DONT WANT TO KNOW!!!,1,1
Semoga lebih baik lagi,0,0
semoga lebih baik,1,1
-,1,1
.,0,0
Sudah sangat bagus,0,0
"Sudah baik,dikembangkan lagiii",0,0
sudah baik,0,0
pelayanan lebih dipermudah,0,1
Cukup baik.,0,0
"biasa aja, mahal doang sih",0,0
Sudah sangat baik,0,0
tingkatkan lagi,0,0
Lanjutkan,0,0
yg lebih profesional sebagai lembaga yg ada di kampus,0,0
"lsysnsn pusat bahasa sudah bagus,lebih bagus lagi jika diberi nomor antrian ketika akan melakukan tes speaking,sehingga tidak berebut.",0,0
"Saya melihat sudah banyak perubahan pada layanan ini dari segi tata letak ruang, modul fasilitas kenyamanan dalam belajr di sana dan lainnya. Saya berharap dapat dipertahankan atau mungkin lebih ditingkatkan lagi.",0,0
Lakukan yang terbaik,0,0
tetap menjadi yang terbaik,0,0
Kurang tahu,0,0
bagus mendukung walau agak susah eprt nya,0,0
baik,1,1
no comment,0,0
semoga semakin kedepan nya,0,0
Semoga lebih baik,0,0
memuaskan,0,0
-,0,0
Bagus. Lanjutkan.,0,0
nope,0,0
Cukup baik,1,1
lebih baik lg,0,0
sudah bagus,1,1
sudah bagus,1,1
lebih baik lagi untuk kedepan nya,1,1
Belum pernah,0,1
Pusat bahasa menurut saya sudah bagus,0,0
sudah cukup baik,0,0
layanan di pusat bahasa sudah baik.,0,1
tidak ada,0,0
Cukup baik,0,0
sudah sangat baik,0,0
"hapuskan esap sebagai bahan nilai untuk b inggris, pelayanan esap juga sangat sangat mengecewakan",1,1
.,0,0
Perubahan jadwal kurang tersosialisasi. Sangat membingungkan Untuk mahasiswa baru. Dan membuat kerugian untuk calon calon peserta. Ditambah kurangnya kuota tempat bagi calon peserta,0,0
Semoga lebih baik dan ditingkatkan lagi,0,0
kkurang menyebarluaskan informasi secara detail.,0,0
Untuk ILCF lebih  baik lagi ke depannya,0,0
tidak ada,0,0
ok,0,1
hasil listeningnya segera diumumkan,1,1
Cukup baik,0,0
lumayan bagus,0,0
Sudah baik,0,0
Lebih ditingkatkan lagi.,0,0
Cukup memuaskan,0,0
sudah cukup baik,0,0
great!!!,0,0
sudah bagus,0,0
semoga jadi lebih baik lagi,0,0
y,0,0
Semoga kedepannya quota untuk les eprt mahasiswa tingkat akhir diperbanyak,0,0
tingkatkan,0,0
-,1,1
yes,1,1
-,0,0
sudah baik,0,0
sudah bagus,0,0
sudah baik sekali,0,0
-,0,0
sudah baik.,0,0
baik,0,0
Lebih mudah mendapatkan informasi,0,0
Sudah sangat bagus,0,0
sudah baik,1,1
Lebih ditingkatkan,1,1
Jadwal yang diberikan pusat bahasa sering terlambat,0,0
sudah cukup,0,0
"di permudahlah untuk misalnya convert nilai , dan masa harus nunggu sampai 7 harikerja kalau bisa di percepat laah",1,1
sudah sangat bagus,0,0
-,0,0
-,1,1
Sudah baik,0,0
BE BETTER,0,0
Pusat bahasa sudah baik,0,0
lebih baik lagi untuk kedepannya,0,0
Sebaiknya mahasiswa lebih dimudahkan dalam menggunakan fasilitas yang ada seperti meminjam buku,1,1
layanan dalam bidang pusat bahasa masih perlu ditingkatkan lagi,0,0
Good inaf,0,0
No comment,1,1
lebih diyingkatan lagi,1,1
sudah baik,0,0
Sudah baik. Mohon kualitasnya dipertahankan.,0,0
saya harap layanan pusat bahasa bisa memberikan info lebih jelas lagi dan pelayanannya lebih ditingkatkan lagi.,0,0
-,1,1
-,0,0
tidak ada,0,0
sudah baik,0,1
Informasi yang jelas dalam manfaat dan tujuan Layanan pusat bahasa.,0,0
tidak ada,1,0
good,1,1
IKUTIN ITB,1,1
"sudah berjalan dengan bagus , hanya saja dalam pusat basa, tetapi ada juga kurangnya memberikan informasi mengenai hal"" yang menyangkut kemahasiswaan, kadang"" juga terjadi kurang pelayanan terhadap mahasiswa yg mengikuti kegiatan layann pusat bahasa",0,0
Sudah bagus,0,0
Bagus,0,0
Sudah cukup baik,0,0
lebih di tingkatkan pelayanannya,0,0
pelayanannya memuaskan,1,1
sudah sangat memuaskan,0,0
harusnya digratiskan saja aturan tentang esap dan les,0,0
Tidak ada,0,0
lebih ditingkatkan lagi fasilitasnya,0,0
adanya lab bahasa,0,0
semoga dapat ditingkatkan lagi,0,0
tidak ada masukan,0,0
Layanan pusat bahasa yang sudah semakin baik,0,0
sip,0,0
bekerja lebih baik lagi,0,0
puas,0,0
Tingkatkan,0,0
-,0,0
saya belum mengikut di pusat bahasa jadi belum tau.,0,0
sudah cukup baik,1,1
Sudah cukup baik. Pertahankan.,0,0
sudah bagus,1,1
layanan pusat bahsa di telkom sudah cukup memuasakan,0,0
tidak ada,1,1
bagus,0,0
-,0,0
Semoga lebih baik lagi.,0,1
sangat baik,0,0
Sudah ok,0,0
sudah sangat baik,0,1
belum mengetahui bidang ini,0,0
lebih diperbaiki lagi,1,1
Good job,0,0
Dipermudah saat memasuki pusat layanan bahasa,0,0
Sudah lebih baik,0,0
"Gatau, udah lama pisan",0,1
.,0,0
M,0,0
semakin ditingkatkan lagi pelayanannya,0,0
aa,0,0
no comment,0,0
"LAC lebih memerhatikan website yang ada, agar mahasiswa lebih mudah memperoleh informasi",0,0
sangat puas,0,0
tingkatkan lagi,0,0
sudah baik,1,1
Sudah bagus,1,1
-,1,1
"untuk perbanyak senyum kak saat pelayanannya, sehingga kami juga turut mendapat energi positf",1,1
,0,0
cukup,0,0
semoga layanan pusat bahasa dapat jadi lebih baik,0,0
sudah baik,0,0
"Sudah sangat baik,",0,0
cukup baik,0,0
Lanjutkan,0,1
pusat bahasa saya belum pernah,0,0
lumayan wifinya bagus tapi eweh sunda euy,0,0
Batch 1 got yura ticket for free. Batch 2 not. Treat us equally. It doesnt matter of yura tcket whatsoever. But i think we have to be treated equally.,0,1
tingkatkan,0,0
I d k,0,0
Lebih baik,1,1
baik,1,1
-,0,0
ggwp,1,1
tidak ada,0,0
mantap,1,1
"tolong periksa lagi soal untuk tes, mungkin ada yang bisa ditingkatkan.",0,0
sudah cukup puas,1,0
cukup,0,0
lebih banyak lagi kegiatan yang tidak berbayar,0,0
tidak ada,0,0
sudah baik,0,0
"kurang, harus banyak diperbaiki",1,1
lac should have free IELTS course for first try,0,0
udah baik,0,0
semoga makin baik kedepannya,0,0
Lanjutkan,0,0
publikasinya lebih ditingkatkan & berikan informasi sejelas mungkin di web.,0,0
baik,0,0
lebih ditingkatkan servernya,0,0
bagus,0,0
No suggestion,1,1
-,0,0
sudah baik,0,0
di kembangkan lagi.,1,1
Sudah bagus dan tingkat kan lagi ke depan nya,0,0
tidak ada saran,1,0
baik,0,0
-,1,1
sukses,0,0
-,0,0
sudah memadai,0,0
bagus sekali,0,0
tingkatkan,0,0
pengajaran dari  pusat Bahasa menyenangkan sekali. pengajar nya sangat baik dan juga ramah.,1,1
ya,0,0
tingkatkan,0,0
sangat bermanfaat bagi mahasiswa,1,1
semoga tidak ada gangguan sistem,0,1
Layanan sangat baik,0,0
Jadwalnya sudah cukup baik hanya saja mungkin lebih di kondisikan lagi kebersihan didalam ruangannya,1,1
very good,0,0
Sudah cukup bagus,1,1
harus lebih baik lagi,1,1
Belum bisa memberi saran atau komentar karena belum pernah memakai layanan pusat bahasa,0,0
Sudah bauk,0,0
tingkatkan saja,0,0
dipertahankan karna suasana dan layanannya sudah sangat baik dan jika bisa ditingkatkan lagi :),0,0
sudah cukup baik,1,1
lebih ditingkatkan lagi,1,1
"Sudah cukup bagus, namun menurut saya perlu diperbarui lagi rangkaian kegiatan esap agar lebih menarik",0,0
-,0,0
Perbaiki lagi,0,1
bagus,1,1
Sarannya didengar tidak?,0,0
Sarannya untuk agar lebih tepat waktu setelah jam setelah istirahat,0,0
"lebih banyak buku, petugas lebih ramah",0,0
"sudah baik, terus tingkatkan",1,1
saya sudah cukup puas,0,0
"Sudah bagus, pertahankan",0,0
"saran dan masukan saya , agar lebih digencarkan lagi semangat untuk pergi ke perpustakaan dan semangat membaca.",0,0
lebih dikembangkan,0,0
tidak ada,0,0
sangan sudah baik,0,0
Berikan hari dimana setiap mahasiswa semuanya memakai bahasa inggris,1,0
lebih di perbaiki,0,0
puas,0,0
tidak ada saran,0,0
,0,0
"Cukup bagus, harus di tingkatkan lagi",0,0
Bagus sekali,0,0
sudah sangat baik,1,1
Penyampaian cuku puas,0,0
"for the services at the LaC, all great",0,0
tidak ada masalah,0,0
baik,0,0
"toilet kotor, tidak ada sabun, tidak ada tissueeee",1,0
Saya belum pernah mengikuti program layanan dari pusat bahasa,0,0
saya belum sempat daftar dipusat bahasa,0,0
Sudah bagus,1,1
baik,0,0
best buat lac,0,0
"ditingkatkan lagi saja, sudah bagus",1,1
pelayanan pusat bahasanya masih harus di perbaiki,0,0
BAIK,1,1
sangat memuaskan,0,0
berikan yang terbaik buat kami,1,1
karena saya belum mengikuti bahasa jadi tidak ada saran,1,0
implementasi layanan dalam bidan internet(tune) agar di tingkatkan agar mahasiswa dan mahasiswi semua bisa menggunakan dengan bagus dan lanacar.,0,0
-,0,0
pertahankan,0,0
ditingkatkan lagi,0,0
tidak ada,0,1
lumayan,0,0
Tingkatkan,0,0
cukup puas,0,0
ditingkatkan menjadi lebih baik,0,0
ok,0,0
ditingkatkan lagi,0,0
sebaiknya di tambah fasilitas bahasa supaya mahasiswa banyak ke bidang bahasa,0,0
cukup baik,0,0
avfeve,0,0
bagus,1,1
"sudah cukup interaktif dan membantu,terus ditingkatkan lagi",1,1
"sudah lumayan bagus, esap supaya dibenahi",1,1
-,0,0
ya,0,0
Sudah baik untuk layanan pusat bahasa.,0,0
Cukup,0,0
pusat bahasa sudah baik,1,1
lebih bagus lagi kedepannya,0,0
good,0,0
sudah baik,0,0
Tidaaaak adaaaa,0,0
update mengenai informasi apa pun itu tolong lebih disikapi dan lebih gesit dalam memberi dan menerima informasi atau kritikan.,0,1
gak pernah menerima kritik,0,0
Perbaiki lebih baik,0,0
sangat membantu,0,0
Sudah cukup baik,0,0
-,0,0
semoga lebih baik,0,0
"ruangannya bau kaki, tolong diberi pewangi ruangan. peralatannya juga harus lebih diperhatikan dalam perawatannya",0,0
Cukup baik,0,0
sudah cukup bagus,0,1
Mantap,0,0
-,0,0
sosialisasi,1,1
sudah bagus dan terus ditingkatkan kembali,0,1
semoga lebih baik,0,0
baik,0,0
Sudah cukup,0,0
Sudah berjalan baik,0,0
saya belum pernah masuk pusat bahasa,0,0
sudah bagus,0,0
:),0,1
lebih ditngkatkan dalam memberi layanan bagi mahasiswanya,0,0
sudah bagus,1,1
Saya tidak tahu,0,0
lebih ditingkatkan lagi.,0,0
agar ditingkatkan lagi dalam pelayanannya sehingga kedepannya lebih baik serta jadwal esap diperbaiki,0,0
baik,1,1
-,0,0
--------------------,0,0
cukup,0,1
bagus,0,0
cukup baik,1,1
Cukup baik. harap di tingkatkan lagi kenyamanan kami dalam kebutuhan layanan pusat bahasa.,1,1
Tidak ada,0,0
diperbaiki lagi,0,1
sudah bagus,0,1
Bagus,1,1
sudah oke,0,0
lebih di tingkatkan lagi,0,0
Tidak ada,0,0
its good enough,0,0
kurang baik dalam pelayanan,0,0
sudah baik,0,0
ditingkatkan lagi,0,0
ditingkatkan lagi,0,0
sukses selalu,0,0
memberikan informasi lebih jelas atau umum mengenai jadwal.,0,0
pelayanan nya harus lebih ramah dan di tingkatkan lagi,0,0
Gatau,0,1
sudah baik,0,0
,0,0
baik,0,0
bagus,0,0
Sudah bagus dan tingkatkan lagi,0,0
terima kasih,0,1
cukup,1,1
-,0,0
ok,0,0
-,0,0
bagus,0,0
cukup baik dalam pelayanan namun kurang dibagian penataan waktu penyelenggaraan acara kebahasaannya,0,0
Jdjdjdnfjfj,0,0
sudah baik,1,1
sudah bagus,0,0
Be better,1,1
Ya bagus,0,0
jangan mahal mahal biaya toeflnya,0,0
tingkatkan lagi,1,0
baik,0,0
Nice,0,0
sudah bagus,0,0
lebih baik lagi,1,1
sudah bagus.semoga lebih bagus lagi dan semakin baik lagi,0,0
sudah bagus,1,1
Di tingkatkan lagi,0,0
bagus,0,1
semoga lebih baik kedepannya,0,1
Sudah baik,1,1
sudah cukup,0,0
tempatnya sempit,1,0
sudah baik,0,0
baik,1,1
ga ada,0,1
Trs dikembangkan,0,0
sudah baik,1,1
"sudah cukup bagus, lebih ditingkatkan saja",0,0
sudah bagus,0,1
"sebaiknya staff bisa lebih proaktif dalam melayani kami, menjawab pertanyaan kami selaku maba yang masih mencari tahu",0,0
jadwal tes di buat lebih teratur dan tidak berganti tanpa pemberitahuan yang jelas.,0,0
saya belum pernah mengikuti layanan pusat bahasa,0,0
sudah bagus,0,1
toilet kalo malam gaudah di kunci,0,0
